source_pack_id,source_row_id,source_pack_name,contrast_type,difficulty,tier,position,target_phoneme_en,contrast_phoneme_en,target_phoneme_es_current,contrast_phoneme_es_current,word_1_en,word_1_es_current,word_2_en,word_2_es_current,clinical_note_en,clinical_note_es_current,review_decision,approved_word_1_es,approved_word_2_es,approved_target_phoneme_es,approved_contrast_phoneme_es,approved_clinical_note_es,review_notes
drill_pack_25,drill_481,Mixed Review: Hardest Pairs,Fricative,4,3,Initial,/s/,/ʃ/,nan,nan,sigh,suspiro,shy,tímido,Diphthong context masks subtle fricative cue,El contexto diptongo enmascara una señal fricativa sutil,pending,,,,,,
drill_pack_25,drill_482,Mixed Review: Hardest Pairs,Fricative,4,3,Cluster,/l/,/r/,nan,nan,play,jugar,pray,orar,Liquid contrast in cluster position,Contraste líquido en posición cluster,pending,,,,,,
drill_pack_25,drill_483,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/m/,/n/,nan,nan,clam,almeja,clan,clan,Cluster onset with final nasal place,Inicio del racimo con lugar nasal final.,pending,,,,,,
drill_pack_25,drill_484,Mixed Review: Hardest Pairs,Fricative,4,3,Initial,/b/,/v/,nan,nan,ban,prohibición,van,furgoneta,Stop vs fricative manner with same place,Parada vs manera fricativa con el mismo lugar,pending,,,,,,
drill_pack_25,drill_485,Mixed Review: Hardest Pairs,Fricative,4,3,Medial,/ʊ/,/uː/,nan,nan,full,lleno,fool,tonto,Back vowel duration distinction,Distinción de duración de vocales posteriores,pending,,,,,,
drill_pack_25,drill_486,Mixed Review: Hardest Pairs,Fricative,4,3,Medial,/aɪ/,/ɔɪ/,nan,nan,file,archivo,foil,frustrar,Diphthong onset height difference,Diferencia de altura de inicio del diptongo,pending,,,,,,
drill_pack_25,drill_487,Mixed Review: Hardest Pairs,Fricative,4,3,Initial,/tʃ/,/ʃ/,nan,nan,chip,chip,ship,barco,Affricate burst vs pure frication,Explosión africana versus fricación pura,pending,,,,,,
drill_pack_25,drill_488,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/s/,/z/,nan,nan,niece,sobrina,knees,rodillas,Final voicing with nasal onset,Voz final con inicio nasal.,pending,,,,,,
drill_pack_25,drill_489,Mixed Review: Hardest Pairs,Fricative,4,3,Cluster,/str/,/tr/,nan,nan,strap,correa,trap,trampa,Three vs two element cluster,Clúster de tres frente a dos elementos,pending,,,,,,
drill_pack_25,drill_490,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/t/,/∅/,nan,nan,goat,cabra,go,ir,Final consonant presence detection,Detección de presencia de consonantes finales,pending,,,,,,
drill_pack_25,drill_491,Mixed Review: Hardest Pairs,Fricative,4,3,Medial,/ɪ/,/iː/,nan,nan,bit,poco,beat,derrotar,Front vowel height with duration cue,Altura de la vocal anterior con indicación de duración.,pending,,,,,,
drill_pack_25,drill_492,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/s/,/ʃ/,nan,nan,plus,más,plush,felpa,Cluster onset with final sibilant place,Inicio del racimo con lugar final sibilante.,pending,,,,,,
drill_pack_25,drill_493,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/l/,/r/,nan,nan,while,mientras,wire,cable,Final liquid in diphthong context,Líquido final en contexto diptongo,pending,,,,,,
drill_pack_25,drill_494,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/m/,/n/,nan,nan,seam,costura,seen,visto,Final nasal place without visual cue,Lugar nasal final sin señal visual,pending,,,,,,
drill_pack_25,drill_495,Mixed Review: Hardest Pairs,Fricative,4,3,Final,/f/,/v/,nan,nan,proof,prueba,prove,probar,Final fricative voicing cluster onset,Inicio del grupo de sonoridad fricativa final,pending,,,,,,
drill_pack_25,drill_496,Mixed Review: Hardest Pairs,Fricative,4,3,Medial,/aɪ/,/ɔɪ/,nan,nan,vice,vicio,voice,voz,Fricative frame with diphthong contrast,Marco fricativo con contraste diptongo.,pending,,,,,,
drill_pack_25,drill_497,Mixed Review: Hardest Pairs,Fricative,5,3,Final,/dʒ/,/ʒ/,nan,nan,badge,insignia,beige,beige,Voiced affricate vs fricative in final,Affricada sonora vs fricativa en la final,pending,,,,,,
drill_pack_25,drill_498,Mixed Review: Hardest Pairs,Fricative,5,3,Cluster,/spl/,/fl/,nan,nan,splash,chapoteo,flash,destello,Three vs two element cluster complex,Complejo de clústeres de tres frente a dos elementos,pending,,,,,,
drill_pack_25,drill_499,Mixed Review: Hardest Pairs,Fricative,4,3,Initial,/b/,/v/,nan,nan,berry,baya,very,muy,Two-syllable manner contrast,Contraste de manera bisílaba,pending,,,,,,
drill_pack_25,drill_500,Mixed Review: Hardest Pairs,Fricative,5,3,Medial,/ʊ/,/uː/,nan,nan,brook,arroyo,brood,cría,Cluster onset back vowel with different coda,Vocal posterior de inicio en racimo con coda diferente,pending,,,,,,
