source_pack_id,source_row_id,source_pack_name,difficulty,tier,position,proposed_pack_id,proposed_pack_name,proposed_target_phoneme_es,proposed_contrast_phoneme_es,clinical_goal,candidate_slot,proposed_word_1_es,proposed_word_2_es,lexical_naturalness_notes,regional_notes,approval_status
pack_th_voiced_unvoiced,drill_thth_001,Voicing: /θ/ vs /ð/,3,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,1,tía,día,Par bisílabo de alta familiaridad para contraste inicial /t/ vs /d/.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_002,Voicing: /θ/ vs /ð/,3,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,2,tuna,duna,Par léxico frecuente con pista robusta de sonoridad en posición inicial.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_003,Voicing: /θ/ vs /ð/,3,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,3,toma,doma,Marco vocálico igualado para contraste inicial de oclusivas.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_004,Voicing: /θ/ vs /ð/,3,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,4,tomo,domo,Contraste inicial controlado en palabras bisilábicas.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_005,Voicing: /θ/ vs /ð/,3,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,5,tomas,domas,Formas verbales en el mismo marco para estabilizar el contraste inicial.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_006,Voicing: /θ/ vs /ð/,4,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,6,tomen,domen,Formas verbales plurales que mantienen el mismo marco con mayor dificultad.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_007,Voicing: /θ/ vs /ð/,4,free,initial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,7,tenso,denso,Par casi mínimo de adjetivos con pista clara de sonoridad inicial.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_008,Voicing: /θ/ vs /ð/,4,free,medial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,8,seta,seda,Contraste medial intervocálico en marco bisílabo frecuente.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_009,Voicing: /θ/ vs /ð/,4,free,medial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,9,coto,codo,Contraste medial equilibrado con contexto vocálico estable.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
pack_th_voiced_unvoiced,drill_thth_010,Voicing: /θ/ vs /ð/,3,free,medial,pack_es_t_vs_d,Stop Voicing: /t/ vs /d/,/t/,/d/,Spanish-native /t/ vs /d/ discrimination pack centered on initial and medial contrasts; avoids unstable word-final /d/.,10,moto,modo,Contraste medial de alta familiaridad entre oclusivas.,Panregional launch set; avoids seseo/castellano-only contrasts and avoids word-final /d/ dependence.,clinically_reviewed
