id,title,transcript,category,difficulty_level,word_count,tier,phonemic_targets
story_dl_001_morning_coffee,"The Morning Coffee","Every morning, Sarah wakes up at six. She walks to the kitchen and starts the coffee maker. The smell fills the room. She adds milk and one sugar. Then she sits by the window and watches the sun rise. This quiet time helps her start the day.","daily_life",1,53,"free","s,k,m"
story_dl_002_grocery_trip,"The Grocery Trip","Tom went to the store on Saturday. He needed bread, eggs, and cheese. The bread aisle was at the back. He found whole wheat bread on sale. Next, he walked to the dairy section. The eggs were fresh and the cheese looked good. He paid twenty dollars and went home.","daily_life",1,58,"free","b,ch,g"
story_dl_003_saturday_market,"The Saturday Market","Maria loved Saturday mornings at the farmers market. She would walk through rows of colorful stalls, examining fresh vegetables and homemade crafts. The baker always saved her favorite cinnamon rolls. She enjoyed chatting with vendors who remembered her name. Today, she discovered a new honey vendor whose lavender honey was exceptional. Maria bought two jars and promised to return next week.","daily_life",2,66,"free","m,s,v"
story_dl_004_fixing_sink,"Fixing the Kitchen Sink","The kitchen sink was leaking again. James opened the cabinet below and found water pooling on the shelf. He turned off the water valve and grabbed his tools. After removing the old washer, he discovered it had cracked. He drove to the hardware store and bought a replacement. Twenty minutes later, the sink worked perfectly again. James felt proud of his repair work.","daily_life",2,71,"free","s,k,w"
story_dl_005_neighborhood_walk,"The Neighborhood Walk","Every evening after dinner, Robert takes his dog Max for a walk around the neighborhood. They follow the same route past the elementary school and through the small park with the old oak tree. Max always stops to sniff the fire hydrant near the corner store. Sometimes neighbors wave from their porches. Robert enjoys these quiet moments to think about the day and plan for tomorrow.","daily_life",3,77,"free","w,d,n"
story_dl_006_cooking_together,"Cooking Dinner Together","Lisa and her daughter Emma decided to make pasta together. They gathered tomatoes, garlic, basil, and olive oil from the pantry. Lisa showed Emma how to chop vegetables safely while Emma stirred the sauce. The kitchen filled with delicious aromas as they worked side by side. They set the table with their best dishes and lit a candle. Dinner tasted even better because they made it together. Afterward, they agreed to cook together every Sunday.","daily_life",3,85,"paid","p,t,l"
story_dl_007_backyard_garden,"The Backyard Garden","Margaret had been planning her garden since January. When spring arrived, she was ready with seeds, soil, and careful sketches. She planted tomatoes along the sunny fence, peppers near the patio, and herbs in ceramic pots by the kitchen door. Every morning before work, she checked for signs of growth. The first green sprouts appeared after two weeks, filling her with excitement. By summer, she was harvesting enough vegetables to share with neighbors. Her garden had become her peaceful retreat.","daily_life",4,89,"paid","g,p,t"
story_dl_008_family_reunion,"The Family Reunion","The Henderson family reunion happened every August at the old farmhouse. Relatives traveled from five different states to attend. Aunt Martha brought her famous potato salad, and Uncle Joe grilled hamburgers on the big outdoor grill. Children played tag in the backyard while adults shared stories on the wraparound porch. Grandmother showed old photo albums that made everyone laugh and sometimes cry. These gatherings reminded everyone why family connections mattered so much. The tradition had continued for thirty-seven years.","daily_life",4,88,"paid","f,r,th"
story_dl_009_moving_day,"Moving Day","Jennifer stood in her empty apartment, memories flooding back with each bare wall. She had lived here for eight wonderful years through job changes, relationships, and personal growth. The moving truck waited outside as she carried the last box down the stairs. Her new home across town offered more space and a quieter neighborhood. Change felt scary but necessary. She locked the door one final time, whispered goodbye, and walked toward her next chapter.","daily_life",3,79,"paid","m,l,b"
story_dl_010_rainy_sunday,"Rainy Sunday Afternoon","The rain started after breakfast and showed no signs of stopping. David decided to organize his closet, a task he had postponed for months. He found old concert tickets, forgotten birthday cards, and a sweater his grandmother had knitted. Each item carried a story worth remembering. By afternoon, the closet was organized and David sat surrounded by precious memories. Sometimes rainy days bring unexpected gifts.","daily_life",3,72,"paid","r,s,d"
story_dl_011_new_neighbor,"The New Neighbor","A moving truck appeared next door last Tuesday. Michael watched workers carry furniture inside all morning. That evening, he baked chocolate chip cookies and walked over to introduce himself. The new neighbor, Angela, was a nurse who had transferred from Seattle. She appreciated the warm welcome and invited Michael for coffee the following Sunday. Good neighbors, she said, make a house feel like home. Michael agreed completely.","daily_life",2,74,"free","n,m,k"
story_dl_012_birthday_surprise,"The Birthday Surprise","Karen thought everyone had forgotten her birthday. Her husband left early for work without mentioning it. Her children seemed busy with homework. She felt disappointed but said nothing. When she arrived home that evening, the house was dark. Then the lights came on and thirty people shouted surprise. Her family had planned the party for weeks, keeping the secret perfectly. Karen cried happy tears and hugged everyone. It was her best birthday ever.","daily_life",3,82,"paid","b,s,p"
